name,downloads
six,440000
pip,421646
botocore,416679
setuptools,388963
python-dateutil,370932
s3transfer,368689
pyasn1,348686
futures,337764
docutils,325902
simplejson,324753
pyyaml,322750
jmespath,309638
wheel,283423
awscli,277308
rsa,271586
requests,270537
colorama,255114
idna,220696
certifi,202535
urllib3,190225
chardet,183929
pytz,156606
boto3,155778
awscli-cwlogs,154445
pbr,136598
cffi,133630
pycparser,115450
jinja2,112498
markupsafe,108260
enum34,106291
cryptography,103105
setuptools-scm,98880
ipaddress,89425
numpy,86903
asn1crypto,83867
pytest-runner,81404
werkzeug,79338
pytest,74741
py,73390
lxml,72474
click,70318
virtualenv,70249
boto,67637
mock,66257
decorator,65999
future,65003
funcsigs,64076
protobuf,63953
pyasn1-modules,61627
flask,60411
pyopenssl,59007
coverage,56752
pillow,56419
cython,56295
pyparsing,55114
greenlet,55022
httplib2,54516
psutil,53713
pandas,53014
psycopg2,51847
oauth2client,51766
django,51012
sqlalchemy,49798
wrapt,49712
amqp,48094
kombu,47656
mccabe,47643
pygments,46860
itsdangerous,46197
argparse,46109
paramiko,44589
grpcio,44571
attrs,44085
jsonschema,43752
gevent,43691
raven,39742
pexpect,37460
ptyprocess,36412
tornado,36337
nose,36231
scipy,35944
babel,35773
pyflakes,35753
google-cloud-core,34207
websocket-client,34189
html5lib,34183
bcrypt,34095
celery,34030
pluggy,33527
pycodestyle,33342
billiard,33104
flake8,32805
pymysql,32251
singledispatch,31759
uritemplate,31739
backports-functools-lru-cache,31233
pynacl,30960
configparser,30358
vine,30065
vcversioner,29487
ndg-httpsclient,29159
google-api-python-client,28940
googleapis-common-protos,28752
redis,28641
scikit-learn,28629
docopt,28306
google-auth,28189
gunicorn,27540
wcwidth,27491
matplotlib,27306
bleach,27155
ipython,26986
markdown,26703
beautifulsoup4,26654
packaging,26557
functools32,26400
isort,26215
typing,26115
backports-ssl-match-hostname,25854
ipython-genutils,25419
opencv-python,25092
pylint,24833
prompt-toolkit,24750
astroid,24582
traitlets,24298
pycrypto,24269
shapely,24206
backports-abc,23262
monotonic,23134
pyjwt,23018
simplegeneric,22966
zope-interface,22939
oauthlib,22828
pickleshare,22525
lazy-object-proxy,22520
google-gax,22147
pyzmq,22012
google-cloud-logging,21683
selenium,21671
docker-pycreds,21490
elasticsearch,21402
requests-oauthlib,21245
appdirs,20942
cassandra-driver,20888
gitpython,20655
ccxt,20560
cycler,20406
incremental,20142
django-environ,19637
sphinx,19302
contextlib2,19099
flask-sqlalchemy,19015
google-cloud-storage,18881
dnspython,18446
pycryptodome,18414
cachetools,18389
gapic-google-cloud-logging-v2,18307
gitdb2,18302
smmap2,18287
anyjson,18255
pymongo,18151
tensorflow,18149
pytest-cov,18112
snowballstemmer,17900
tabulate,17858
tensorflow-tensorboard,17487
netaddr,17090
eventlet,17071
absl-py,16834
stevedore,16715
ansible,16706
alabaster,16691
flask-restful,16630
ply,16502
google-auth-httplib2,16430
docker,16383
pep8,16378
lockfile,16359
unidecode,16270
pyhocon,16021
subprocess32,15968
unicodecsv,15794
iso8601,15734
mako,15732
imagesize,15691
google-resumable-media,15519
pydevd,15148
enum-compat,15028
datadog,14833
ptvsd,14767
retrying,14644
webencodings,14559
xmltodict,14465
nbformat,14432
djangorestframework,14211
jupyter-core,14147
path-py,14080
sqlparse,14047
unittest2,13984
ujson,13965
linecache2,13652
traceback2,13618
grpc-google-cloud-logging-v2,13327
msgpack-python,13305
ordereddict,13268
sphinxcontrib-websupport,13250
google-api-core,13223
xlrd,13128
netifaces,13025
tox,12975
frida,12966
olefile,12865
nameko,12687
pathlib2,12654
cached-property,12653
backports-weakref,12635
alembic,12561
python-daemon,12550
scandir,12528
ipykernel,12510
arrow,12414
regex,12342
mistune,12293
ecdsa,12206
thrift,12118
networkx,12068
mysql-connector-python-rf,12061
dill,12037
mysql-python,11794
line-profiler,11756
apache-beam,11683
termcolor,11662
backports-shutil-get-terminal-size,11642
statsd,11633
xdis,11481
requests-toolbelt,11456
twisted,11407
aiohttp,11311
dockerpty,11237
jupyter-client,11230
python-editor,11108
grpcio-tools,11065
webob,11006
jedi,10992
tqdm,10926
texttable,10809
notebook,10694
mxnet,10685
cssselect,10637
docker-py,10587
parso,10515
prettytable,10408
